Customer ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13
Customer 1,34.93,28.91,38.16,25.47,32.89,26.6,21.37,18.68,33.48,16.18,29.46,18.63,0
Customer 2,37.84,27.94,14.5,31.25,14.49,29.03,27.06,35.85,23.97,25.54,16.26,27.79,0
Customer 3,17.29,36.99,34.17,24.59,20.13,23.23,32.26,28.27,37.36,33.63,27.5,16.64,0
Customer 4,19.93,12.88,24.67,9.6,28.63,20.43,11.92,20.01,30.38,31.85,25.98,26.28,0
Customer 5,20.07,21.3,13.33,21.45,19.38,18.75,49.35,11.4,41.12,30.74,16.57,33.61,0
Customer 6,23.62,20.62,30.13,35.71,17.69,21.57,29.21,29.62,37.79,18.39,33.29,36.35,0
Customer 7,22.48,18.91,28.12,39.78,40.06,11.44,33.08,25.79,20.13,30.58,20.87,21.57,0
Customer 8,23.2,32.23,30.22,23.92,29.97,30.26,20.55,20.72,20.31,22.58,29.25,18,0
Customer 9,27.37,23.42,35.46,15.25,25.85,27.33,21.57,21.39,26.29,24.7,32.97,29.09,0
Customer 10,25.92,14.67,33.51,28.15,30.82,19.72,33.33,21.08,14.37,23.43,14.71,22.34,0.47
Customer 11,32.33,14.79,15.1,9.14,21.71,33.14,18.56,18.71,24.83,18.65,16.9,20.54,0
Customer 12,15.82,28.03,34.93,46.91,27.88,22.55,30.08,17.12,39.47,30.79,23.17,31.93,0.24
Customer 13,25.15,27.72,19.06,26.13,39.7,21.41,29.37,36.93,22.75,20.78,28.62,17.21,0
Customer 14,15.18,32.39,37.87,23.25,16.43,26.48,26.4,16.11,25.82,24.61,12.91,24.6,0
Customer 15,31.79,14.69,19.87,23.35,26.46,31.32,11.58,36.23,28.07,21.09,20.13,19.27,0
Customer 16,16.59,31.83,28.93,20.93,18.27,29.62,17.53,33.47,20.34,19.45,22.99,26.53,0
Customer 17,20.18,20.43,35.92,47.97,23.91,25.58,30.63,26.52,21.57,19.93,21.52,20.69,0
Customer 18,23.15,16.29,15.51,24.51,22.69,15.72,26.45,23.16,15.52,24.5,29.02,36.92,0.89
Customer 19,30.49,23.19,21.11,22.9,31.32,33.25,22.35,21.77,34.68,26.19,19.08,29.13,0.28
Customer 20,16.27,16.34,34.79,26.09,18.24,8.9,31.62,19.84,22.69,46.7,18.32,14.78,3.16
Customer 21,23.68,13.13,29.1,29.29,25.99,29.29,24.45,22.09,22.59,29.98,21.26,29.68,0
Customer 22,20.23,43.61,22.11,11.09,27.77,24.02,35.01,24.45,16.08,27.09,29.4,22.4,0.24
Customer 23,37.06,25.42,21.74,39.2,18.63,22.34,42.22,20.14,20.92,21.99,14.17,28.86,0
Customer 24,27.34,14.49,8.03,18.17,23.7,32.49,39.52,26.43,18.11,23.79,31.96,35.15,0
Customer 25,17.33,28.47,26.94,31.71,13.74,30.48,29.63,26.86,21.64,29.11,21.63,23.06,1.4
Customer 26,25.25,23.84,23.15,21.81,25.31,21.98,21.28,18.36,29.68,35.7,19.46,20.32,3.08
Customer 27,21.19,14.75,21.4,20.97,33.13,29.17,17.59,30.76,21.13,25.35,41.77,19.53,0
Customer 28,38.55,21.6,16.55,16.22,10.65,27.05,27.76,37.63,21.86,19.93,18.44,9.79,0
